Date,RoomAvailable,DeskAvailable,RoomDeskAdjusted,RoomSmoothed,RoomExtraSmoothed,Forecast,Type,CombinedLine,CombinedSmoothedLine
2024-11-18,4863.0,112200.0,4950.726049827965,4964.978602716633,4962.350398721856,,Historical,4962.350398721856,4961.5579306624495
2024-11-19,4900.0,112200.0,4988.39351103373,4962.942523732537,4963.825517169517,,Historical,4963.825517169517,4963.21947944712
2024-11-20,4887.0,112200.0,4975.15899763711,4966.578379061279,4965.072096139373,,Historical,4965.072096139373,4964.6489864606865
2024-11-21,4867.0,112200.0,4954.798207796156,4974.577260784512,4966.516050112786,,Historical,4966.516050112786,4965.589567394008
2024-11-22,4894.0,112200.0,4982.285274081443,4975.304431850259,4967.249713777336,,Historical,4967.249713777336,4965.891840533857
2024-11-23,4885.0,112200.0,4973.1229186530145,4972.250313374117,4967.661500363712,,Historical,4967.661500363712,4965.680775421968
2024-11-24,4909.0,112200.0,4997.555866462159,4971.086839668918,4966.451695473467,,Historical,4966.451695473467,4964.892447785567
2024-11-25,4868.0,112200.0,4955.816247288203,4969.196194897973,4964.466310700814,,Historical,4964.466310700814,4963.364928500495
2024-11-26,4879.0,112200.0,4967.014681700728,4969.923365963722,4962.348061386288,,Historical,4962.348061386288,4961.131941979953
2024-11-27,4879.0,112200.0,4967.014681700728,4972.104879160966,4959.553802684569,,Historical,4959.553802684569,4958.305591289873
2024-11-28,4854.0,112200.0,4941.563694399536,4961.869946410558,4955.82341511728,,Historical,4955.82341511728,4955.202811713229
2024-11-29,4899.0,112200.0,4987.375471541682,4956.781930463518,4951.618808133542,,Historical,4951.618808133542,4951.969861095701
2024-11-30,4900.0,112200.0,4988.39351103373,4946.150689482276,4947.877045533153,,Historical,4947.877045533153,4948.65472530752
2024-12-01,5175.0,120000.0,4925.9113372093025,4938.782992244114,4944.732238436954,,Historical,4944.732238436954,4945.307705294138
2024-12-02,5169.0,120000.0,4920.200135658915,4935.323112313284,4941.835656378126,,Historical,4941.835656378126,4942.044436095238
2024-12-03,5140.0,120000.0,4892.5959948320415,4923.822901908474,4939.142110869013,,Historical,4939.142110869013,4939.026000942106
2024-12-04,5164.0,120000.0,4915.440801033592,4914.352953119233,4936.1246625909,,Historical,4936.1246625909,4936.259011155353
2024-12-05,5166.0,120000.0,4917.344534883721,4915.712763012182,4932.980530724975,,Historical,4932.980530724975,4933.754181378028
2024-12-06,5155.0,120000.0,4906.873998708011,4922.919755444814,4930.489762061626,,Historical,4930.489762061626,4931.5540065968
2024-12-07,5171.0,120000.0,4922.103869509045,4928.223014027317,4928.50811702588,,Historical,4928.50811702588,4929.66617404865
2024-12-08,5185.0,120000.0,4935.430006459948,4930.53469084533,4927.1984299956775,,Historical,4927.1984299956775,4928.280668304673
2024-12-09,5222.0,120000.0,4970.649082687339,4931.486557770396,4926.4344329095275,,Historical,4926.4344329095275,4927.553845984231
2024-12-10,5179.0,120000.0,4929.718804909561,4927.679090070137,4925.927283031959,,Historical,4925.927283031959,4927.402082414765
2024-12-11,5181.0,120000.0,4931.6225387596905,4928.087033038021,4926.426122383063,,Historical,4926.426122383063,4927.620827343523
2024-12-12,5173.0,120000.0,4924.007603359173,4926.999185123662,4927.892774481887,,Historical,4927.892774481887,4928.034995786143
2024-12-13,5127.0,120000.0,4880.221724806202,4929.038899963087,4929.427417075358,,Historical,4929.427417075358,4928.580507647487
2024-12-14,5174.0,120000.0,4924.959470284238,4927.815071059432,4930.039331527185,,Historical,4930.039331527185,4929.163780463459
2024-12-15,5177.0,120000.0,4927.815071059432,4928.087033038021,4930.097609094025,,Historical,4930.097609094025,4929.741005887406
2024-12-16,5237.0,120000.0,4984.927086563308,4928.223014027317,4930.253015938934,,Historical,4930.253015938934,4930.205838861016
2024-12-17,5170.0,120000.0,4921.15200258398,4930.806652823921,4930.0101927437645,,Historical,4930.0101927437645,4930.498614256334
2024-12-18,5183.0,120000.0,4933.526272609819,4934.886082502769,4930.466700350683,,Historical,4930.466700350683,4930.683159884663
2024-12-19,5174.0,120000.0,4924.959470284238,4937.197759320783,4931.146605297158,,Historical,4931.146605297158,4930.885743807491
2024-12-20,5146.0,120000.0,4898.3071963824295,4931.486557770396,4931.476844842588,,Historical,4931.476844842588,4931.089715291433
2024-12-21,5204.0,120000.0,4953.515478036176,4929.038899963087,4931.331150925487,,Historical,4931.331150925487,4931.3505767811
2024-12-22,5194.0,120000.0,4943.99680878553,4932.71038667405,4931.515696553816,,Historical,4931.515696553816,4931.542060215005
2024-12-23,5195.0,120000.0,4944.948675710594,4928.087033038022,4931.680816326531,,Historical,4931.680816326531,4931.636414370842
2024-12-24,5152.0,120000.0,4904.018397932817,4934.070196567,4931.83622317144,,Historical,4931.83622317144,4931.683591448761
2024-12-25,5210.0,120000.0,4959.2266795865635,4937.605702288668,4931.807084388019,,Historical,4931.807084388019,4931.751581943409
2024-12-26,5140.0,120000.0,4892.5959948320415,4931.6225387596905,4931.807084388019,,Historical,4931.807084388019,4931.793208776866
2024-12-27,5190.0,120000.0,4940.189341085272,4926.999185123662,4931.807084388019,,Historical,4931.807084388019,4931.811247071365
2024-12-28,5230.0,120000.0,4978.264018087855,4930.398709856035,4931.807084388019,,Historical,4931.807084388019,4931.807084388019
2024-12-29,5150.0,120000.0,4902.114664082687,4930.398709856035,4931.807084388019,,Historical,4931.807084388019,4931.875639456312
2024-12-30,5161.0,120000.0,4912.585200258398,4930.398709856035,4931.807084388019,,Historical,4931.807084388019,4931.944194524605
2024-12-31,5177.0,120000.0,4927.815071059432,4930.398709856035,4931.807084388019,,Historical,4931.807084388019,4932.012749592898
2025-01-01,,,,,,4932.286969866072,Forecast,4932.286969866072,4932.081304661192
2025-01-02,,,,,,4932.286969866072,Forecast,4932.286969866072,4932.154702682291
2025-01-03,,,,,,4932.286969866072,Forecast,4932.286969866072,4932.233282463594
2025-01-04,,,,,,4932.286969866072,Forecast,4932.286969866072,4932.317193478954
2025-01-05,,,,,,4932.320870535715,Forecast,4932.320870535715,4932.3378706951535
2025-01-06,,,,,,4932.357142857143,Forecast,4932.357142857143,4932.363699776785
2025-01-07,,,,,,4932.394461495535,Forecast,4932.394461495535,4932.394401705994
2025-01-08,,,,,,4932.431710379465,Forecast,4932.431710379465,4932.429637675383
2025-01-09,,,,,,4932.4677734375,Forecast,4932.4677734375,4932.464215959822
2025-01-10,,,,,,4932.501883370535,Forecast,4932.501883370535,4932.497448979592
2025-01-11,,,,,,4932.533621651785,Forecast,4932.533621651785,4932.528858418367
2025-01-12,,,,,,4932.562918526785,Forecast,4932.562918526785,4932.558135363521
2025-01-13,,,,,,4932.589773995535,Forecast,4932.589773995535,4932.58519013074
2025-01-14,,,,,,4932.614327566965,Forecast,4932.614327566965,4932.610072544643
2025-01-15,,,,,,4932.636648995535,Forecast,4932.636648995535,4932.632932079082
2025-01-16,,,,,,4932.657156808035,Forecast,4932.657156808035,4932.653948102678
2025-01-17,,,,,,4932.676060267857,Forecast,4932.676060267857,4932.673290019133
2025-01-18,,,,,,4932.693638392857,Forecast,4932.693638392857,4932.691097337372
2025-01-19,,,,,,4932.710030691965,Forecast,4932.710030691965,4932.7075394610965
2025-01-20,,,,,,4932.725167410715,Forecast,4932.725167410715,4932.722745934311
2025-01-21,,,,,,4932.738978794643,Forecast,4932.738978794643,4932.736846301021
2025-01-22,,,,,,4932.751743861607,Forecast,4932.751743861607,4932.749920280612
2025-01-23,,,,,,4932.763602120535,Forecast,4932.763602120535,4932.762027662628
2025-01-24,,,,,,4932.774762834822,Forecast,4932.774762834822,4932.773268096301
